Season,Race,Percent,Count
2008-2009,Other,0.00%,0
2008-2009,POC,9.70%,3
2008-2009,Women,0.00%,0
2008-2009,Total,,31
2007-2008,White,76.70%,23
2007-2008,African-American,23.30%,7
2007-2008,Latino,0.00%,0
2007-2008,Asian,0.00%,0
2007-2008,Other,0.00%,0
2007-2008,POC,23.30%,7
2007-2008,Women,0.00%,0
2007-2008,Total,,30
2006-2007,White,73.30%,22
2006-2007,African-American,26.70%,8
2006-2007,Latino,0.00%,0
2006-2007,Asian,0.00%,0
2006-2007,Other,0.00%,0
2006-2007,POC,26.70%,8
2006-2007,Women,0.00%,0
2006-2007,Total,,30
2005-2006,White,77.40%,24
2005-2006,African-American,22.60%,7
2005-2006,Latino,0.00%,0
2005-2006,Asian,0.00%,0
2005-2006,Other,0.00%,0
2005-2006,POC,22.60%,7
2005-2006,Women,0.00%,0
2005-2006,Total,,31
2004-2005,White,77.40%,24
2004-2005,African-American,22.60%,7
2004-2005,Latino,0.00%,0
2004-2005,Asian,0.00%,0
2004-2005,Other,0.00%,0
2004-2005,POC,22.60%,7
2004-2005,Women,0.00%,0
2004-2005,Total,,31
2003-2004,White,83.30%,25
2003-2004,African-American,16.70%,5
2003-2004,Latino,0.00%,0
2003-2004,Asian,0.00%,0
2003-2004,Other,0.00%,0
2003-2004,POC,16.70%,5
2003-2004,Women,0.00%,0
2003-2004,Total,,30
2001-2002,White,83.30%,25
2001-2002,African-American,16.70%,5
2001-2002,Latino,0.00%,0
2001-2002,Asian,0.00%,0
2001-2002,Other,0.00%,0
2001-2002,POC,16.70%,5
2001-2002,Women,0.00%,0
2001-2002,Total,,30
2000-2001,White,79.30%,23
2000-2001,African-American,20.70%,6
2000-2001,Latino,0.00%,0
2000-2001,Asian,0.00%,0
2000-2001,Other,0.00%,0
2000-2001,POC,20.70%,6
2000-2001,Women,0,0
2000-2001,Total,,29
1999-2000,White,86.20%,25
1999-2000,African-American,13.80%,4
1999-2000,Latino,0.00%,0
1999-2000,Asian,0.00%,0
1999-2000,Other,0.00%,0
1999-2000,POC,13.80%,4
1999-2000,Women,0.00%,0
1999-2000,Total,,29
1998-1999,White,79.30%,23
1998-1999,African-American,20.70%,6
1998-1999,Latino,0.00%,0
1998-1999,Asian,0.00%,0
1998-1999,Other,0.00%,0
1998-1999,POC,20.70%,6
1998-1999,Women,0.00%,0
1998-1999,Total,,29
1997-1998,White,72.40%,21
1997-1998,African-American,27.60%,8
1997-1998,Latino,0.00%,0
1997-1998,Asian,0.00%,0
1997-1998,Other,0.00%,0
1997-1998,POC,27.60%,8
1997-1998,Women,0.00%,0
1997-1998,Total,,29
1996-1997,White,72.40%,21
1996-1997,African-American,27.60%,8
1996-1997,Latino,0.00%,0
1996-1997,Asian,0.00%,0
1996-1997,Other,0.00%,0
1996-1997,POC,27.60%,8
1996-1997,Women,0.00%,0
1996-1997,Total,,29
1995-1996,White,69.00%,20
1995-1996,African-American,31.00%,9
1995-1996,Latino,0.00%,0
1995-1996,Asian,0.00%,0
1995-1996,Other,0.00%,0
1995-1996,POC,31.00%,9
1995-1996,Women,0.00%,0
1995-1996,Total,,29
1994-1995,White,69.00%,20
1994-1995,African-American,31.00%,9
1994-1995,Latino,0.00%,0
1994-1995,Asian,0.00%,0
1994-1995,Other,0.00%,0
1994-1995,POC,31.00%,9
1994-1995,Women,0.00%,0
1994-1995,Total,,29
