Season,Race,Percent,Count
1997-1998,Latino,0.00%,0
1997-1998,Asian,0.00%,0
1997-1998,Other,0.00%,0
1997-1998,POC,33.90%,39
1997-1998,Women,0.00%,0
1997-1998,Total,,115
1996-1997,White,65.60%,61
1996-1997,African-American,34.40%,32
1996-1997,Latino,0.00%,0
1996-1997,Asian,0.00%,0
1996-1997,Other,0.00%,0
1996-1997,POC,34.40%,32
1996-1997,Women,0.00%,0
1996-1997,Total,,93
1995-1996,White,59.30%,51
1995-1996,African-American,40.70%,35
1995-1996,Latino,0.00%,0
1995-1996,Asian,0.00%,0
1995-1996,Other,0.00%,0
1995-1996,POC,40.70%,35
1995-1996,Women,0.00%,0
1995-1996,Total,,86
1994-1995,White,60.00%,45
1994-1995,African-American,40.00%,30
1994-1995,Latino,0.00%,0
1994-1995,Asian,0.00%,0
1994-1995,Other,0.00%,0
1994-1995,POC,40.00%,30
1994-1995,Women,0.00%,0
1994-1995,Total,,75
1993-1994,White,61.50%,48
1993-1994,African-American,38.50%,30
1993-1994,Latino,0.00%,0
1993-1994,Asian,0.00%,0
1993-1994,Other,0.00%,0
1993-1994,POC,38.50%,30
1993-1994,Women,0.00%,0
1993-1994,Total,,78
