Coach,Team,Year(s),Record,,
Alvin Gentry,Phoenix,2008-2013,158-144,,
Alvin Gentry,New Orleans,2015-Present,112-134,,
Bob Lanier,Golden State,1994-95,12-25,,
M.L. Carr,Boston,1995-97,48-116,,
Jim Cleamons,Dallas,1996-98,28-70,,
Johnny Davis,Philadelphia,1996-97,22-60,,
Johnny Davis,Orlando,2004-05,51-84,,
Johnny Davis,Memphis,2009,0-2,,
Derek Fisher,New York,2014-2016,40-96,,
J.B. Bickerstaff,Houston (Interim),2015-2016,37-34,,
J.B. Bickerstaff,Memphis,2017-2019,48-97,,
Tony Brown,Brooklyn (Interim),2016,11-34,,
James Borrego,Charlotte,2018-Present,39-43,,
Earl Watson ,Phoenix,2016-Present,33-82,,
Eddie Jordan ,Sacramento,1996-98,33-64,,
Eddie Jordan ,Washington,2003-09,205-242,,
Eddie Jordan ,Philadelphia,2009-10,27-55,,
Darrell Walker ,Toronto,1996-98,41-90,,
Darrell Walker ,Washington,1999-00,15-23,,
Butch Carter ,Toronto,1997-00,73-95,,
Lionel Hollins ,Vancouver,1999-00,18-42,,
Lionel Hollins ,Memphis,2004-05,0-4,,
Lionel Hollins ,Memphis,2008-2013,214-172,,
Lionel Hollins ,Brooklyn,2014-2016,48-71,,
Doc Rivers ,Orlando,1999-03,176-178,,
Doc Rivers ,Boston,2004-2013,475-352,,
Doc Rivers ,L.A. Clippers,2013-Present,259-151,,
Leonard Hamilton ,Washington,2000-01,19-63,,
Nate McMillan ,Seattle,2000-05,220-191,,
Nate McMillan ,Portland,2005-2012,272-281,,
Nate McMillan ,Indiana,2017-Present,90-74,,
Byron Scott ,New Jersey,2000-03,174-154,,
Byron Scott ,New Orleans,2004-09,211-225,,
Byron Scott ,Cleveland,2010-2013,64-166,,
Byron Scott ,L.A. Lakers,2014-Present,38-126,,
Isiah Thomas,Indiana,2000-03,136-125,,
Isiah Thomas,New York,2006-07,56-108,,
Bill Cartwright,Chicago,2001-04,51-100,,
Maurice Cheeks,Portland,2001-04,165-146,,
Maurice Cheeks,Philadelphia,2005-08,124-151,,
Maurice Cheeks,Detroit,2013-2014,21-29,,
Mike Evans,Denver,2001-02,18-38,,
Frank Johnson,Phoenix,2001-04,65-75,,
Dennis Johnson,L.A. Clippers,2002-03,8-16,,
Keith Smart,Cleveland,2002-03,9-31,,
Keith Smart,Golden State,2010-11,36-46,,
Keith Smart,Sacramento,2011-2013,48-93,,
Mike Woodson,Atlanta,2004-10,217-304,,
Mike Woodson,New York,2012-2014,116-89,,
Terry Porter,Milwaukee,2003-04,72-97,,
Terry Porter,Phoenix,2008-09,28-23,,
Sam Mitchell,Toronto,2004-08,159-197,,
Sam Mitchell,Minnesota,2015-2016,29-53,,
Randy Ayers,Philadelphia,2003-04,21-31,,
Herb Williams,New York,2003-04,17-27,,
Dwane Casey,Minnesota,2005-07,53-69,,
Dwane Casey,Toronto,2011-2018,261-215,,
Dwane Casey,Detroit,2018-Present,41-41,,
Avery Johnson,Dallas,2005-08,217-94,,
Avery Johnson,New Jersey/Brooklyn,2010-13,60-116,,
Mike Brown,Cleveland,2005-10,314-167,,
Mike Brown,L.A. Lakers,2011-13,47-36,,
Mike Brown,Cleveland,2013-2014,33-49,,
Reggie Theus,Sacramento,2007-09,44-62,,
Sam Vincent,Charlotte,2007-08,32-50,,
Michael Curry,Detroit,2008-09,39-43,,
Kenny Natt,Sacramento,2008-09,11-17,,
Ed Tapscott,Washington,2008-09,18-53,,
Erik Spoelstra,Miami,2008-Present,484-320,,
Larry Drew,Atlanta,2010-2013,138-116,,
Larry Drew,Milwaukee,2013-2014,15-67,,
Larry Drew,Cleveland Cavaliers,2018-2019,19-57,,
Monty Williams,New Orleans,2010-2015,173-221,,
Pete Myers,Chicago,2003&2008,0-3,,
Mark Jackson,Golden State,2011-2014,130-119,,
Tyrone Corbin,Utah,2010-2014,112-150,,
Michael Cooper,Denver,2004,4-10,,
Bill Berry,Chicago,2001-02,0-2,,
Kaleb Canales,Portland,2012,8-15,,
Brian Shaw,Denver,2013-2015,56-85,,
Jacque Vaughn,Orlando,2012-2015,58-158,,
Melvin Hunt,Denver,2015,10-13,,
Jason Kidd,Brooklyn,2013-2014,44-38,,
Jason Kidd,Milwaukee,2014-2018,139-152,,
Tyronn Lue,Cleveland,2016-Present,128-77,,
Lloyd Pierce,Atlanta,2018-Present,29-53,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Head Athletic Trainers,,,
,,%,Count,% Count,
2018-2019,,2010-2011,2001-2002,,
White,,74.10%,20,White 80.0% 36,White
African-American,,18.50%,5,African-American 15.6% 7,African-American
Latino,,3.70%,1,Latino 2.2% 1,Latino
Asian,,3.70%,1,Asian 2.2% 1,Asian
Other,,0.00%,0,Other 0.0% 0,Other
POC,,25.90%,7,POC 20.0% 9,POC
Women,,0.00%,0,Women 0.0% 0,Women
Total,,27,Total 45,Total,
2017-2018,,2009-2010,1999-2000,,
White,,63.30%,19,White 76.5% 39,White
African-American,,26.70%,8,African-American 15.7% 8,African-American
Latino,,6.70%,2,Latino 2.0% 1,Latino
Asian,,3.30%,1,Asian 5.9% 3,Asian
Other,,0.00%,0,Other 0.0% 0,Other
POC,,36.70%,11,POC 23.5% 12,POC
Women,,3.30%,1,Women 0.0% 0,Women
Total,,30,Total 51,Total,
2016-2017,,2008-2009,1998-1999,,
White,,63.30%,19,White 81.6% 40,White
African-American,,26.70%,8,African-American 14.3% 7,African-American
Latino,,6.70%,2,Latino 2.0% 1,Latino
Asian,,3.30%,1,Asian 2.0% 1,Asian
Other,,0.00%,0,Other 0.0% 0,Other
POC,,36.70%,11,POC 18.4% 9,POC
Women,,0.00%,0,Women 0.0% 0,Women
Total,,30,Total 49,Total,
2015-2016,,2007-2008,1997-1998,,
White,,66.70%,20,White 78.4% 40,White
African-American,,26.70%,8,African-American 17.6% 9,African-American
Latino,,3.30%,1,Latino 2.0% 1,Latino
Asian,,3.30%,1,Asian 2.0% 1,Asian
Other,,0.00%,0,Other 0.0% 0,Other
POC,,33.30%,10,POC 21.6% 11,POC
Women,,0.00%,0,Women 0.0% 0,Women
Total,,30,Total 51,Total,
2014-2015,,2006-2007,1996-1997,,
White,,66.70%,20,White 75.5% 37,White
African-American,,23.30%,7,African-American 20.4% 10,African-American
Latino,,3.30%,1,Latino 2.0% 1,Latino
Asian,,6.70%,2,Asian 2.0% 1,Asian
Other,,0.00%,0,Other 0.0% 0,Other
POC,,33.30%,10,POC 24.5% 12,POC
Women,,0.00%,0,Women 0.0% 0,Women
Total,,30,Total 49,Total,
2013-2014,,2005-2006,1995-1996,,
White,,70.00%,21,White 76.5% 39,White
African-American,,23.30%,7,African-American 19.6% 10,African-American
Latino,,3.30%,1,Latino 2.0% 1,Latino
Asian,,3.30%,1,Asian 2.0% 1,Asian
Other,,0.00%,0,Other 0.0% 0,Other
POC,,30.00%,9,POC 23.5% 12,POC
Women,,0.00%,0,Women 2.0% 1,Women
Total,,30,Total 51,Total,
2012-2013,,2004-2005,1994-1995,,
White,,72.70%,24,White 76.9% 40,White
African-American,,24.20%,8,African-American 21.2% 11,African-American
Latino,,3.00%,1,Latino 0.0% 0,Latino
Asian,,0.00%,0,Asian 1.9% 1,Asian
Other,,0.00%,0,Other 0.0% 0,Other
POC,,27.30%,9,POC 23.1% 12,POC
Women,,0.00%,0,Women 0.0% 0,Women
Total,,33,Total 52,Total,
2011-2012,,2003-2004,1993-1994,,
White,,67.30%,35,White 83.3% 25,White
African-American,,21.20%,11,African-American 16.7% 5,African-American
Latino,,5.80%,3,Latino 0.0% 0,Latino
Asian,,5.80%,3,Asian 0.0% 0,Asian
Other,,0.00%,0,Other 0.0% 0,Other
POC,,32.70%,17,POC 16.7% 5,POC
Women,,1.90%,1,Women 0.0% 0,Total
Total,,52,Total 30,,
,,Table 12,,,
,,Radio and TV Announcers,,,
,,% %,%,,
2018-2019,,2010-2011 2001-2002,,,
White,,73.0% White 72.0% White,0.77,,
African-American,,16.5% African-American 17.0% African-American,0.16,,
Latino,,7.0% Latino 10.0% Latino,0.07,,
Asian,,0.0% Asian 1.0% Asian,0,,
Other,,3.5% Other 0.0% Other,0,,
POC,,27.0% POC 28.0% POC,0.23,,
Women,,9.6% Women 3.0% Women,0.03,,
2017-2018,,2009-2010 1999-2000,,,
White,,66.1% White 72.0% White,0.76,,
African-American,,11.5% African-American 18.0% African-American,0.16,,
Latino,,8.0% Latino 9.0% Latino,0.08,,
Asian,,2.9% Asian 1.0% Asian,0,,
Other,,11.5% Other 1.0% Other,0,,
POC,,33.9% POC 29.0% POC,0.24,,
Women,,20.7% Women 5.0% Women,0.02,,
2016-2017,,2008-2009 1998-1999,,,
White,,67.7% White 73.0% White,0.78,,
African-American,,22.9% African-American 18.0% African-American,0.18,,
Latino,,7.3% Latino 9.0% Latino,0.04,,
Asian,,0.0% Asian 1.0% Asian,0,,
Other,,2.1% Other 0.0% Other,0,,
POC,,32.3% POC 28.0% POC,0.22,,
Women,,4.2% Women 8.0% Women,0.02,,
2015-2016,,2007-2008 1997-1998,,,
White,,68.8% White 73.0% White,0.77,,
African-American,,20.6% African-American 18.0% African-American,0.18,,
Latino,,10.0% Latino 8.0% Latino,0.05,,
Asian,,0.6% Asian 1.0% Asian,0,,
Other,,0.0% Other 0.0% Other,0,,
POC,,31.2% POC 27.0% POC,0.23,,
Women,,5.9% Women 7.0% Women,0,,
2014-2015,,2006-2007 1996-1997,,,
White,,68.8% White 75.0% White,0.8,,
African-American,,18.8% African-American 19.0% African-American,0.16,,
Latino,,11.8% Latino 6.0% Latino,0.03,,
Asian,,0.5% Asian 0.0% Asian,0,,
Other,,0.0% Other 0.0% Other,0,,
POC,,31.1% POC 25.0% POC,0.19,,
Women,,3.2% Women 6.0% Women,0,,
2013-2014,,2005-2006 1995-1996,,,
White,,71.3% White 74.0% White,0.78,,
African-American,,19.4% African-American 18.0% African-American,0.18,,
Latino,,9.4% Latino 8.0% Latino,0.03,,
Asian,,0.0% Asian 0.0% Asian,0,,
Other,,0.0% Other 0.0% Other,0,,
POC,,28.8% POC 26.0% POC,0.21,,
Women,,4.4% Women 6.0% Women,0.03,,
2012-2013,,2004-2005 1993-1994,,,
White,,65.2% White 74.0% White,0.81,,
African-American,,19.4% African-American 16.0% African-American,0.12,,
Latino,,10.4% Latino 10.0% Latino,0.07,,
Asian,,0.0% Asian 0.0% Asian,0,,
Other,,0.0% Other 0.0% Other,0,,
POC,,29.9% POC 26.0% POC,0.19,,
Women,,5.0% Women 5.0% Women,,,
2011-2012,,2003-2004 1992-1993,,,
White,,69.0% White 75.0% White,0.81,,
African-American,,19.0% African-American 17.0% African-American,0.12,,
Latino,,11.0% Latino 8.0% Latino,0.07,,
Asian,,1.0% Asian 0.0% Asian,0,,
Other,,0.0% Other 1% Other,0,,
POC,,31.0% POC 26% POC,0.19,,
Women,,4.0% Women 3.0% Women,,,
,,NBA Referees,,,
,,%,Count,%,
2018-2019,,2011-2012,,,
White,,44.70%,68 White,54.00%,
African-American,,42.10%,64 African-American,41.30%,
Latino,,5.90%,9 Latino,3.20%,
Asian,,1.30%,2 Asian,0.00%,
Other,,5.90%,9 Other,1.60%,
POC,,55.30%,84 POC,46.00%,
Women,,19.10%,29 Women,1.60%,
Total,,152 Total,,,
2017-2018,,2010-2011,,,
White,,43.80%,57 White,55.00%,
African-American,,45.40%,59 African-American,41.70%,
Latino,,4.60%,6 Latino,3.30%,
Asian,,1.50%,2 Asian,0.00%,
Other,,4.60%,6 Other,0.00%,
POC,,56.20%,73 POC,45.00%,
Women,,13.80%,18 Women,1.70%,
Total,,117 Total,,,
2016-2017,,2009-2010,,,
White,,50.00%,32 White,55.90%,
African-American,,43.80%,28 African-American,40.70%,
Latino,,3.10%,2 Latino,3.40%,
Asian,,0.00%,0 Asian,0.00%,
Other,,3.10%,2 Other,0.00%,
POC,,50.00%,32 POC,44.10%,
Women,,1.60%,1 Women,1.70%,
Total,,64 Total,,,
2015-2016,,2008-2009,,,
White,,53.10%,34 White,55.70%,
African-American,,45.30%,29 African-American,39.30%,
Latino,,1.60%,1 Latino,4.90%,
Asian,,0.00%,0 Asian,0.00%,
Other,,0.00%,0 Other,0.00%,
POC,,46.90%,30 POC,44.30%,
Women,,3.10%,2 Women,1.60%,
Total,,64 Total,,,
2014-2015,,2007-2008,,,
White,,52.40%,33 White,57.60%,
African-American,,46.00%,29 African-American,37.30%,
Latino,,1.60%,1 Latino,5.10%,
Asian,,0.00%,0 Asian,0.00%,
Other,,0.00%,0 Other,0.00%,
POC,,47.60%,30 POC,42.40%,
Women,,3.20%,2 Women,1.70%,
Total,,63 Total,,,
2013-2014,,2006-2007,,,
White,,51.60%,32 White,64.40%,
African-American,,46.80%,29 African-American,32.20%,
Latino,,1.60%,1 Latino,3.40%,
Asian,,0.00%,0 Asian,0.00%,
Other,,0.00%,0 Other,0.00%,
POC,,48.40%,30 POC,35.60%,
Women,,1.60%,1 Women,1.70%,
Total,,62 Total,,,
2012-2013,,,,,
White,,52.50%,32,,
African-American,,45.90%,28,,
Latino,,1.60%,1,,
Asian,,0.00%,0,,
Other,,0.00%,0,,
POC,,47.50%,29,,
Women,,1.60%,1,,
Total,,61 Table 14,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,%,Count
,,,,,
,,,,85.70%,24
,,,,10.70%,3
,,,,0.00%,0
,,,,3.60%,1
,,,,0.00%,0
,,,,14.30%,4
,,,,0.00%,0
,,,,,28
,,,,,
,,,,86.20%,25
,,,,13.80%,4
,,,,0.00%,0
,,,,0.00%,0
,,,,0.00%,0
,,,,13.80%,4
,,,,0.00%,0
,,,,,29
,,,,,
,,,,89.70%,26
,,,,10.30%,3
,,,,0.00%,0
,,,,0.00%,0
,,,,0.00%,0
,,,,10.30%,3
,,,,0.00%,0
,,,,,29
,,,,,
,,,,86.20%,25
,,,,13.80%,4
,,,,0.00%,0
,,,,0.00%,0
,,,,0.00%,0
,,,,13.80%,4
,,,,0.00%,0
,,,,,29
,,,,,
,,,,86.20%,25
,,,,13.80%,4
,,,,0.00%,0
,,,,0.00%,0
,,,,0.00%,0
,,,,13.80%,4
,,,,0.00%,0
,,,,,29
,,,,,
,,,,89.30%,25
,,,,10.70%,3
,,,,0.00%,0
,,,,0.00%,0
,,,,0.00%,0
,,,,10.70%,3
,,,,0.00%,0
,,,,,28
,,,,,
,,,,92.60%,25
,,,,7.40%,2
,,,,0.00%,0
,,,,0.00%,0
,,,,0.00%,0
,,,,7.40%,2
,,,,0.00%,0
,,,,,27
,,,,,
,,,,92.60%,25
,,,,3.70%,1
,,,,0.00%,0
,,,,0.00%,0
,,,,3.70%,1
,,,,7.40%,2
,,,,,27
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,Count,,
,,,,,
,,,34,,
,,,26,,
,,,2,,
,,,0,,
,,,1,,
,,,29,,
,,,1,,
,,,63,,
,,,,,
,,,33,,
,,,25,,
,,,2,,
,,,0,,
,,,0,,
,,,27,,
,,,1,,
,,,60,,
,,,,,
,,,33,,
,,,24,,
,,,2,,
,,,0,,
,,,0,,
,,,26,,
,,,1,,
,,,59,,
,,,,,
,,,34,,
,,,24,,
,,,3,,
,,,0,,
,,,0,,
,,,27,,
,,,1,,
,,,61,,
,,,,,
,,,34,,
,,,22,,
,,,3,,
,,,0,,
,,,0,,
,,,25,,
,,,1,,
,,,59,,
,,,,,
,,,38,,
,,,19,,
,,,2,,
,,,0,,
,,,0,,
,,,21,,
,,,1,,
,,,59,,
