Season,Race,Percent,Count
2006-2007,POC,15.10%,44
2006-2007,Women,16.80%,49
2006-2007,Total,,292
2005-2006,White,87.50%,252
2005-2006,African-American,8.30%,24
2005-2006,Latino,2.80%,8
2005-2006,Asian,1.40%,4
2005-2006,Other,0.00%,0
2005-2006,POC,12.50%,36
2005-2006,Women,18.10%,52
2005-2006,Total,,288
2004-2005,White,86.20%,232
2004-2005,African-American,10.40%,28
2004-2005,Latino,2.20%,6
2004-2005,Asian,1.10%,3
2004-2005,Other,0.00%,0
2004-2005,POC,13.80%,37
2004-2005,Women,17.80%,48
2004-2005,Total,,269
2003-2004,White,88.10%,192
2003-2004,African-American,8.70%,19
2003-2004,Latino,3.20%,7
2003-2004,Asian,0.00%,0
2003-2004,Other,0.00%,0
2003-2004,POC,11.90%,26
2003-2004,Women,17.90%,39
2003-2004,Total,,218
2001-2002,White,90.70%,175
2001-2002,African-American,6.70%,13
2001-2002,Latino,2.60%,5
2001-2002,Asian,0.00%,0
2001-2002,Other,0.00%,0
2001-2002,POC,9.30%,18
2001-2002,Women,15.00%,29
2001-2002,Total,,193
1999-2000,White,89.60%,164
1999-2000,African-American,9.80%,18
1999-2000,Latino,0.50%,1
1999-2000,Asian,0.00%,0
1999-2000,Other,0.00%,0
1999-2000,POC,10.40%,19
1999-2000,Women,13.10%,24
1999-2000,Total,,183
1998-1999,White,89.90%,170
1998-1999,African-American,9.00%,17
1998-1999,Latino,1.10%,2
1998-1999,Asian,0.00%,0
1998-1999,Other,0.00%,0
1998-1999,POC,10.10%,19
1998-1999,Women,11.60%,22
1998-1999,Total,,189
1997-1998,White,86.80%,138
1997-1998,African-American,11.90%,19
1997-1998,Latino,1.30%,2
1997-1998,Asian,0.00%,0
1997-1998,Other,0.00%,0
1997-1998,POC,13.20%,21
1997-1998,Women,10.10%,16
1997-1998,Total,,159
1996-1997,White,89.70%,140
1996-1997,African-American,9.60%,15
1996-1997,Latino,0.60%,1
1996-1997,Asian,0.00%,0
1996-1997,Other,0.00%,0
1996-1997,POC,10.30%,16
1996-1997,Women,8.30%,13
1996-1997,Total,,156
1995-1996,White,91.70%,132
1995-1996,African-American,8.30%,12
1995-1996,Latino,0.00%,0
1995-1996,Asian,0.00%,0
1995-1996,Other,0.00%,0
1995-1996,POC,8.30%,12
1995-1996,Women,6.90%,10
1995-1996,Total,,144
1994-1995,White,87.20%,109
1994-1995,African-American,12.00%,15
1994-1995,Latino,0.00%,0
1994-1995,Asian,0.80%,1
1994-1995,Other,0.00%,0
1994-1995,POC,12.80%,16
1994-1995,Women,6.40%,8
1994-1995,Total,,125
1993-1994,White,86.60%,97
1993-1994,African-American,12.50%,14
1993-1994,Latino,0.00%,0
1993-1994,Asian,0.90%,1
1993-1994,Other,0.00%,0
1993-1994,POC,13.40%,15
1993-1994,Women,3.60%,4
1993-1994,Total,,112
